Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Солома ЭНА Восточное|82,990|0,783|0,650|1,67|2,60
Силос 3637.05.05.02.1.23|32,900|18,845|6,200|40,12|24,80
Люцерна 3637.04.01.01.3.24|40,200|5,846|2,350|12,45|9,40
Тритикале 3637.02.12.01.1.24|25,400|5,118|1,300|10,90|5,20
Патока свекловичная, сахар|79,500|1,660|1,320|3,54|5,28
Шрот соевый. 49%, ЭНАПКХ|89,750|3,231|2,900|6,88|11,60
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,525|1,400|3,25|5,60
Жом свекловичный сухой. гр|91,450|1,312|1,200|2,79|4,80
Кукуруза. 70%,сухая средн. помол, ЭНАПКХ|87,540|5,803|5,080|12,36|20,32
Комбикорм 10.3.3 (без пшен.) _Сентябрь 09.09.24|91,440|2,843|2,600|6,05|10,40
