Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
с-с 6204.01.05.02.1.24|29,600|22,297|6,600|45,56|30,00
с-ж 6204.06.01.01.2.24|36,000|4,028|1,450|8,23|6,59
c-ж 6204.01.12.01.1.24|25,100|7,171|1,800|14,65|8,18
к-ж 6204.02.05.07.1.23|51,100|4,305|2,200|8,80|10,00
Соль. ЭНАПКХ|99,850|0,100|0,100|0,20|0,45
Мел. ЭНАПКХ|99,200|0,131|0,130|0,27|0,59
Шрот рапсовый. 38%|91,800|2,397|2,200|4,90|10,00
Шрот соевый. 49%, ЭНАПКХ|89,750|2,117|1,900|4,33|8,64
Жом свекловичный сухой.|91,450|1,531|1,400|3,13|6,36
Сода. ЭНАПКХ|95,600|0,209|0,200|0,43|0,91
Кукуруза. 70%,сухая, мелк.|87,540|1,828|1,600|3,73|7,27
Премикс дойный Б. 07.23|99,000|0,152|0,150|0,31|0,68
Патока свекловичная, сахар|79,500|1,258|1,000|2,57|4,55
Поташ. ЭНАПКХ|98,500|0,071|0,070|0,15|0,32
Ячмень.61%, сухой, средний помол, ЭНАПКХ|89,000|1,348|1,200|2,75|5,45
Общие значения||48,943|22,000|45,0|%СВ
